ItemCode,product_name,ProductType,size,total_sqm,min_quantity,Export,M_Distributor,Dealer,Dealer2,ApprovalNeeded,TierStage25,TierStage2,TierStage15,TierStage1,Retail
SPETG085410L,Solvit Sign & Display Media,Polyester (Grey Back) Banner 8mil,"54""x100'",41.806368,1,3.21,3.9,4.33,4.56,5.46,5.85,6.24,6.63,7.02,7.8
SPETW083810M,Solvit Sign & Display Media,Polyester (White Back) Banner 8mil,"38""x100'",29.419296,1,3.05,3.7,4.11,4.33,5.18,5.55,5.92,6.29,6.66,7.4
SPETG103810L,Solvit Sign & Display Media,Polyester (Grey Back) Banner 10mil,"38""x100'",29.419296,1,4.04,4.9,5.44,5.73,6.86,7.35,7.84,8.33,8.82,9.8
SPVC8133815G,Solvit Sign & Display Media,PVC Banner 13 Oz (840x840) - Gloss,"38""x150'",44.128944,1,1.5,1.5,1.5,1.5,2,2,2,2.3,2.5,3
SPVC8135415G,Solvit Sign & Display Media,PVC Banner 13 Oz (840x840) - Gloss,"54""x150'",62.709552,1,1.5,1.5,1.5,1.5,2,2,2,2.3,2.5,3
SPVC8136314G,Solvit Sign & Display Media,PVC Banner 13 Oz (840x840) - Gloss,"63""x140'",68.2837344,1,1.5,1.5,1.5,1.5,2,2,2,2.3,2.5,3
SPVC8133815M,Solvit Sign & Display Media,PVC Banner 13 Oz (840x840) - Matte,"38""x150'",44.128944,1,1.5,1.5,1.5,1.5,2,2,2,2.3,2.5,3
SPVC8135415M,Solvit Sign & Display Media,PVC Banner 13 Oz (840x840) - Matte,"54""x150'",62.709552,1,1.5,1.5,1.5,1.5,2,2,2,2.3,2.5,3
SPVC8136314M,Solvit Sign & Display Media,PVC Banner 13 Oz (840x840) - Matte,"63""x140'",68.2837344,1,1.5,1.5,1.5,1.5,2,2,2,2.3,2.5,3
SPOP1755015S,Solvit Sign & Display Media,Poster Paper 175gsm,"50""x150'",58.0644,1,1.07,1.3,1.44,1.52,1.82,1.95,2.08,2.21,2.34,2.6
SPOP1755415S,Solvit Sign & Display Media,Poster Paper 175gsm,"54""x150'",62.709552,1,1.07,1.3,1.44,1.52,1.82,1.95,2.08,2.21,2.34,2.6
SPOP1756015S,Solvit Sign & Display Media,Poster Paper 175gsm,"60""x150'",69.67728,1,1.07,1.3,1.44,1.52,1.82,1.95,2.08,2.21,2.34,2.6
SBACW085410M,Solvit Sign & Display Media,Backlit Film 8mil,"54""x100'",41.806368,1,2.96,3.6,4,4.21,5.04,5.4,5.76,6.12,6.48,7.2
SBACW086010M,Solvit Sign & Display Media,Backlit Film 8mil,"60""x100'",46.45152,1,2.96,3.6,4,4.21,5.04,5.4,5.76,6.12,6.48,7.2
SSAVG045415G,Solvit Sign & Display Media,Self Adhesive Vinyl - 4mil - Gloss,"54""x150'",62.709552,1,1.32,1.6,1.78,1.87,2.24,2.4,2.56,2.72,2.88,3.2
SSAVG046015G,Solvit Sign & Display Media,Self Adhesive Vinyl - 4mil - Gloss,"60""x150'",69.67728,1,1.32,1.6,1.78,1.87,2.24,2.4,2.56,2.72,2.88,3.2
SSAVG045415M,Solvit Sign & Display Media,Self Adhesive Vinyl - 4mil - Matte,"54""x150'",62.709552,1,1.32,1.6,1.78,1.87,2.24,2.4,2.56,2.72,2.88,3.2
SSAVG046015M,Solvit Sign & Display Media,Self Adhesive Vinyl - 4mil - Matte,"60""x150'",69.67728,1,1.32,1.6,1.78,1.87,2.24,2.4,2.56,2.72,2.88,3.2
SSAVW065410G,Solvit Sign & Display Media,Self Adhesive Vinyl - 6mil - Gloss,"54""x100'",41.806368,1,2.64,3.2,3.56,3.74,4.48,4.8,5.12,5.44,5.76,6.4
SSAVW066010G,Solvit Sign & Display Media,Self Adhesive Vinyl - 6mil - Gloss,"60""x100'",46.45152,1,2.64,3.2,3.56,3.74,4.48,4.8,5.12,5.44,5.76,6.4
SSAVW065410M,Solvit Sign & Display Media,Self Adhesive Vinyl - 6mil - Matte,"54""x100'",41.806368,1,2.64,3.2,3.56,3.74,4.48,4.8,5.12,5.44,5.76,6.4
SSAVW066010M,Solvit Sign & Display Media,Self Adhesive Vinyl - 6mil - Matte,"60""x100'",46.45152,1,2.64,3.2,3.56,3.74,4.48,4.8,5.12,5.44,5.76,6.4
SPOLY11-3810M,Solvit Sign & Display Media,PolySign 11mil,"38""x100'",29.419296,1,1.81,2.2,2.44,2.57,3.08,3.3,3.52,3.74,3.96,4.4
SPOLY11-5415M,Solvit Sign & Display Media,PolySign 11mil,"54""x150'",62.709552,1,1.81,2.2,2.44,2.57,3.08,3.3,3.52,3.74,3.96,4.4
SPOLY11-6015M,Solvit Sign & Display Media,PolySign 11mil,"60""x150'",69.67728,1,1.81,2.2,2.44,2.57,3.08,3.3,3.52,3.74,3.96,4.4
SPOLY17-3810M,Solvit Sign & Display Media,PolySign 17mil,"38""x100'",29.419296,1,2.8,3.4,3.78,3.98,4.76,5.1,5.44,5.78,6.12,6.8
SPOLY17-5410M,Solvit Sign & Display Media,PolySign 17mil,"54""x100'",41.806368,1,2.8,3.4,3.78,3.98,4.76,5.1,5.44,5.78,6.12,6.8
SPOLY17-6010M,Solvit Sign & Display Media,PolySign 17mil,"60""x100'",46.45152,1,2.8,3.4,3.78,3.98,4.76,5.1,5.44,5.78,6.12,6.8
SSLIS05-54x100W,Solvit Sign & Display Media,SlickStick 5mil Polyester,"54""x100'",41.806368,1,5.93,7.2,8,8.42,10.08,10.8,11.52,12.24,12.96,14.4
CCLP3004460T,CliQ Aqueous Medias,Cold Press Paper 300gsm,"44""x60'",20.4386688,1,11.32,13.74,15.27,16.08,19.24,20.62,21.99,23.37,24.74,27.49
CCLP3004440T,CliQ Aqueous Medias,Cold Press Paper 300gsm,"44""x40'",13.6257792,1,11.32,13.74,15.27,16.08,19.24,20.62,21.99,23.37,24.74,27.49
CHOT2702440M,CliQ Aqueous Medias,Hot Press Paper 270gsm,"24""x40'",7.4322432,1,15.14,18.38,20.43,21.5,25.74,27.57,29.41,31.25,33.09,36.77
CHOT2703640M,CliQ Aqueous Medias,Hot Press Paper 270gsm,"36""x40'",11.1483648,1,15.14,18.38,20.43,21.5,25.74,27.57,29.41,31.25,33.09,36.77
CHOT2704440M,CliQ Aqueous Medias,Hot Press Paper 270gsm,"44""x40'",13.6257792,1,15.14,18.38,20.43,21.5,25.74,27.57,29.41,31.25,33.09,36.77
CCOT3002440T,CliQ Aqueous Medias,Cotton Rag Paper 300gsm,"24""x40'",7.4322432,1,12.59,15.29,16.99,17.88,21.41,22.94,24.46,25.99,27.52,30.58
CCOT3003640T,CliQ Aqueous Medias,Cotton Rag Paper 300gsm,"36""x40'",11.1483648,1,12.59,15.29,16.99,17.88,21.41,22.94,24.46,25.99,27.52,30.58
CCOT3004440T,CliQ Aqueous Medias,Cotton Rag Paper 300gsm,"44""x40'",13.6257792,1,12.59,15.29,16.99,17.88,21.41,22.94,24.46,25.99,27.52,30.58
CCOT3004460T,CliQ Aqueous Medias,Cotton Rag Paper 300gsm,"44""x60'",20.4386688,1,12.59,15.29,16.99,17.88,21.41,22.94,24.46,25.99,27.52,30.58
CMAT2302410M,CliQ Aqueous Medias,Inkjet Matte Paper 230gsm,"24""x100'",18.580608,1,3.11,3.78,4.2,4.42,5.29,5.67,6.05,6.43,6.8,7.56
CMAT2303610M,CliQ Aqueous Medias,Inkjet Matte Paper 230gsm,"36""x100'",27.870912,1,3.11,3.78,4.2,4.42,5.29,5.67,6.05,6.43,6.8,7.56
CMAT2304410M,CliQ Aqueous Medias,Inkjet Matte Paper 230gsm,"44""x100'",34.064448,1,3.11,3.78,4.2,4.42,5.29,5.67,6.05,6.43,6.8,7.56
CPET0073610G,CliQ Aqueous Medias,PETBull 7mil - Gloss,"36""x100'",27.870912,1,3.05,3.7,4.11,4.33,5.18,5.55,5.92,6.29,6.66,7.4
CPET0074410G,CliQ Aqueous Medias,PETBull 7mil - Gloss,"44""x100'",34.064448,1,3.05,3.7,4.11,4.33,5.18,5.55,5.92,6.29,6.66,7.4
CPET0073610S,CliQ Aqueous Medias,PETBull 7mil - Satin,"36""x100'",27.870912,1,3.05,3.7,4.11,4.33,5.18,5.55,5.92,6.29,6.66,7.4
CPET0074410S,CliQ Aqueous Medias,PETBull 7mil - Satin,"44""x100'",34.064448,1,3.05,3.7,4.11,4.33,5.18,5.55,5.92,6.29,6.66,7.4
CRCP2422410G,CliQ Aqueous Medias,Photo Paper 10.4mil - Gloss,"24""x100'",18.580608,1,2.77,3.36,3.73,3.93,4.7,5.04,5.38,5.71,6.05,6.72
CRCP2423610G,CliQ Aqueous Medias,Photo Paper 10.4mil - Gloss,"36""x100'",27.870912,1,2.77,3.36,3.73,3.93,4.7,5.04,5.38,5.71,6.05,6.72
CRCP2424410G,CliQ Aqueous Medias,Photo Paper 10.4mil - Gloss,"44""x100'",34.064448,1,2.77,3.36,3.73,3.93,4.7,5.04,5.38,5.71,6.05,6.72
CRCP2426010G,CliQ Aqueous Medias,Photo Paper 10.4mil - Gloss,"60""x100'",46.45152,1,2.77,3.36,3.73,3.93,4.7,5.04,5.38,5.71,6.05,6.72
CRCP2422410S,CliQ Aqueous Medias,Photo Paper 10.4mil - Satin,"24""x100'",18.580608,1,2.77,3.36,3.73,3.93,4.7,5.04,5.38,5.71,6.05,6.72
CRCP2423610S,CliQ Aqueous Medias,Photo Paper 10.4mil - Satin,"36""x100'",27.870912,1,2.77,3.36,3.73,3.93,4.7,5.04,5.38,5.71,6.05,6.72
CRCP2424410S,CliQ Aqueous Medias,Photo Paper 10.4mil - Satin,"44""x100'",34.064448,1,2.77,3.36,3.73,3.93,4.7,5.04,5.38,5.71,6.05,6.72
CRCP2426010S,CliQ Aqueous Medias,Photo Paper 10.4mil - Satin,"60""x100'",46.45152,1,2.77,3.36,3.73,3.93,4.7,5.04,5.38,5.71,6.05,6.72
CSAV053660M,CliQ Aqueous Medias,Self Adhesive Vinyl - 5mil (PVC),"36""x60'",16.7225472,1,6.34,7.7,8.56,9.01,10.78,11.55,12.32,13.09,13.86,15.4
CSAV054260M,CliQ Aqueous Medias,Self Adhesive Vinyl - 5mil (PVC),"42""x60'",19.5096384,1,6.34,7.7,8.56,9.01,10.78,11.55,12.32,13.09,13.86,15.4
